Bug_Rule	CA	EF	WC	LR	AP	NC	XJ	GH	LE	CM	JH	TP	DW
javascript:S2137	0	0	0	0	0	0	0	0	0	2.807354922	0	0	0
javascript:S2189	0	0	0	0	2.807354922	0	0	0	0	0	0	0	0
javascript:S2259	0	1.485426827	1.485426827	0	1.485426827	0	0	0	4.456280482	0	0	0	0
javascript:S2583	0	0	2.222392421	0	0	0	0	0	2.222392421	0	0	0	0
javascript:S3403	0	0	0	0	2.807354922	0	0	0	0	0	0	0	0
javascript:S905	0	0	11.22941969	0	0	0	0	0	0	0	0	0	0
php:S1763	0	0	0	0	0	0	2.807354922	0	0	0	0	0	0
php:S1764	2.222392421	0	0	0	0	0	0	0	0	0	2.222392421	0	0
php:S1848	3.883414617	3.39798779	0	0.485426827	5.339695099	14.07737799	3.39798779	0	0	0.485426827	0	0.485426827	0.485426827
php:S2201	0	1.485426827	1.485426827	0	8.912560963	2.970853654	0	0	0	0	0	0	0
php:S3699	0	0	2.807354922	0	0	0	0	0	0	0	0	0	0
php:S3923	0	0	0	3.614709844	1.807354922	0	0	3.614709844	0	0	0	0	0
php:S836	1.222392421	0	0	0	4.889569685	1.222392421	1.222392421	0	0	0	1.222392421	0	0
Web:PageWithoutTitleCheck	0	0	2.222392421	0	8.889569685	0	0	0	0	0	0	0	0
