Bug_Rule	SR	BB	AN	AAN	TH	DW	MP	TD	DM	RWY	MGL	BH	MNE	SM	MGE	FM	JL	SL	AAG	DM	CB	GT	IT	JP	JO	DP	MNI	BA	JV	RWI	CC	PS	NO	AD	SH	JM	YB	SC	MGU	EL	AG	DC	DS
javascript:DuplicatePropertyName	0	0	0	0	0	0	0	0	0	0	3.491853096	0	0	0	0	3.491853096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.491853096	0	0	0	0	0	0	0	0	0	0	0
javascript:S1143	0	0	0	0	0	6.983706193	3.491853096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.491853096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
javascript:S1656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.491853096	0	3.491853096	0	0	0	0	0	0	0	0	0	0	0	0	10.47555929	0	0	0	0	0	0	0	0	0	0	0
javascript:S2137	0	0	0	0	0	0	0	0	0	6.339850003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.169925001	0	0	0	0	0	6.339850003	0	0	3.169925001	0	0	0	0	0	0	0	0
javascript:S2201	3.906890596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.62756238	0	0	0	0	0	0	0	0	0	0	0
javascript:S2259	26.94436251	4.754887502	3.169925001	0	0	4.754887502	3.169925001	1.584962501	0	3.169925001	0	0	0	1.584962501	0	1.584962501	0	0	0	0	0	0	0	0	0	1.584962501	0	0	0	0	0	26.94436251	0	0	1.584962501	0	0	0	0	0	0	1.584962501	1.584962501
javascript:S2583	2.032421478	0	24.38905773	0	0	22.35663625	0	0	0	6.097264433	0	0	0	0	0	0	0	2.032421478	0	0	0	0	0	0	0	2.032421478	0	0	0	2.032421478	0	18.2917933	0	2.032421478	2.032421478	0	0	0	0	0	0	0	0
javascript:S2757	0	0	0	24.44297167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.491853096	0	0	3.491853096	0	0	0	0	0	0	0	0
javascript:S2873	0	0	0	0	0	11.72067179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.906890596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
javascript:S3403	0	0	2.321928095	0	0	6.965784285	0	4.64385619	0	2.321928095	0	0	0	0	2.321928095	0	0	2.321928095	0	0	0	0	0	0	0	0	0	0	0	0	0	20.89735285	0	0	2.321928095	0	0	0	0	0	0	0	0
javascript:S3785	0	0	0	0	0	0	0	6.339850003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50.71880002	0	0	9.509775004	3.169925001	0	0	0	0	0	0	0
javascript:S3812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.983706193	0	0	0	0	0	0	0	0	0	0	0
javascript:S3981	0	0	0	0	0	0	3.906890596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.62756238	0	0	0	0	0	0	0	0	0	0	0
javascript:S4043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.906890596	0	0	3.906890596	0	0	0	0	0	0	0	0
javascript:S905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.906890596	0	3.906890596	0	0	0	0	0	0	0	0	0	0	0
javascript:UnreachableCode	0	0	0	0	0	3.169925001	0	0	3.169925001	0	3.169925001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.339850003	0	0	0	0	0	0	0	0	0	0	0
php:S1145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.491853096	0	0	0	0	0	0	0	0	0	0	0
php:S1656	0	0	4.064842955	0	2.032421478	4.064842955	0	0	0	0	8.129685911	2.032421478	0	2.032421478	0	4.064842955	2.032421478	0	0	0	0	0	2.032421478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.032421478	0	0	0	0	0
php:S1763	0	0	0	0	3.813781191	11.44134357	0	0	0	0	1.906890596	0	0	0	0	3.813781191	1.906890596	0	0	0	0	1.906890596	0	0	0	0	0	0	1.906890596	0	0	24.78957774	0	0	0	0	1.906890596	0	0	1.906890596	1.906890596	0	0
php:S1764	0	0	0	0	0	0	0	0	2.906890596	0	5.813781191	0	2.906890596	0	0	0	2.906890596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.906890596	0	0	0	0	0	0	0	0	0	0	0
php:S1848	0	0	18.79148722	0	0	0	0	2.684498174	0	0	13.42249087	0	0	34.89847627	0	0	0	0	0	0	0	0	0	0	2.684498174	0	0	0	0	0	0	0	2.684498174	0	0	0	0	0	0	0	0	0	0
php:S1862	0	0	0	0	0	0	0	0	2.906890596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.906890596	0	0	0	2.906890596	0	0	2.906890596	0	0	0	0	2.906890596	0	0	0	0	0	0
php:S2201	0	0	2.906890596	0	0	5.813781191	0	0	0	0	5.813781191	0	0	0	0	2.906890596	2.906890596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
php:S2757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.906890596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.906890596	0	0	0	0	0	0	0	0	0	0	0
php:S3923	0	0	3.906890596	0	3.906890596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
php:S836	0	0	7.255124765	0	0.906890596	0.906890596	0	0	0.906890596	0.906890596	3.627562382	0	0.906890596	0.906890596	5.441343574	0.906890596	0	0.906890596	0	0.906890596	0.906890596	0	0.906890596	0.906890596	0	0.906890596	0	0	0.906890596	0.906890596	0.906890596	3.627562382	0	0.906890596	0	0	0	0.906890596	1.813781191	0	0	0	0
php:S905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.491853096	0	0	0	0	0	0	0	0	0	0	0
Web:BoldAndItalicTagsCheck	0	0	0	82.04470251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.906890596	0	0	0	0	0	0	0	0	0	0	0
