File,Message,Line,Severity,Rule
phpmyadmin/libraries/classes/Controllers/UserPasswordController.php,"'password' detected in this variable name, review this potentially hardcoded credential.",72,BLOCKER,php:S2068
phpmyadmin/libraries/classes/Server/Privileges.php,"'password' detected in this variable name, review this potentially hardcoded credential.",3830,BLOCKER,php:S2068
phpmyadmin/libraries/classes/Server/Privileges.php,"'password' detected in this variable name, review this potentially hardcoded credential.",3832,BLOCKER,php:S2068
phpmyadmin/test/classes/Server/PrivilegesTest.php,"'password' detected in this variable name, review this potentially hardcoded credential.",984,BLOCKER,php:S2068
phpmyadmin/test/classes/Server/PrivilegesTest.php,"'password' detected in this variable name, review this potentially hardcoded credential.",1400,BLOCKER,php:S2068
phpmyadmin/libraries/classes/Server/Privileges.php,"'password' detected in this variable name, review this potentially hardcoded credential.",3272,BLOCKER,php:S2068
phpmyadmin/js/vendor/u2f-api-polyfill.js,Make sure this cross-domain message is being sent to the intended domain.,545,CRITICAL,javascript:S2819
phpmyadmin/libraries/classes/Plugins/Auth/AuthenticationCookie.php,"'password' detected in this variable name, review this potentially hardcoded credential.",244,BLOCKER,php:S2068
phpmyadmin/libraries/classes/Plugins/Auth/AuthenticationHttp.php,"'password' detected in this variable name, review this potentially hardcoded credential.",149,BLOCKER,php:S2068
phpmyadmin/libraries/classes/Plugins/AuthenticationPlugin.php,"'password' detected in this variable name, review this potentially hardcoded credential.",42,BLOCKER,php:S2068
phpmyadmin/libraries/classes/Plugins/AuthenticationPlugin.php,"'password' detected in this variable name, review this potentially hardcoded credential.",134,BLOCKER,php:S2068
phpmyadmin/test/classes/Plugins/Auth/AuthenticationCookieTest.php,"'password' detected in this variable name, review this potentially hardcoded credential.",689,BLOCKER,php:S2068
phpmyadmin/test/classes/Plugins/Auth/AuthenticationCookieTest.php,"'password' detected in this variable name, review this potentially hardcoded credential.",740,BLOCKER,php:S2068
phpmyadmin/test/classes/Plugins/Auth/AuthenticationHttpTest.php,"'password' detected in this variable name, review this potentially hardcoded credential.",321,BLOCKER,php:S2068
phpmyadmin/test/classes/Plugins/Auth/AuthenticationHttpTest.php,"'password' detected in this variable name, review this potentially hardcoded credential.",351,BLOCKER,php:S2068
phpmyadmin/test/classes/Plugins/Auth/AuthenticationHttpTest.php,"'password' detected in this variable name, review this potentially hardcoded credential.",384,BLOCKER,php:S2068
phpmyadmin/test/classes/Plugins/Auth/AuthenticationSignonTest.php,"'password' detected in this variable name, review this potentially hardcoded credential.",255,BLOCKER,php:S2068
phpmyadmin/libraries/classes/Replication.php,"'password' detected in this variable name, review this potentially hardcoded credential.",100,BLOCKER,php:S2068
phpmyadmin/test/selenium/Database/EventsTest.php,"Remove this call to ""sleep"".",145,MINOR,php:S2964
phpmyadmin/test/selenium/Database/EventsTest.php,"Remove this call to ""sleep"".",185,MINOR,php:S2964
phpmyadmin/libraries/classes/Server/Privileges.php,"'password' detected in this variable name, review this potentially hardcoded credential.",3011,BLOCKER,php:S2068
phpmyadmin/libraries/classes/Server/Privileges.php,"'password' detected in this variable name, review this potentially hardcoded credential.",3017,BLOCKER,php:S2068
phpmyadmin/libraries/classes/Server/Privileges.php,"'password' detected in this variable name, review this potentially hardcoded credential.",3650,BLOCKER,php:S2068
phpmyadmin/test/classes/Plugins/Auth/AuthenticationCookieTest.php,"'password' detected in this variable name, review this potentially hardcoded credential.",1115,BLOCKER,php:S2068
phpmyadmin/libraries/classes/Config/Validator.php,"'password' detected in this variable name, review this potentially hardcoded credential.",293,BLOCKER,php:S2068
phpmyadmin/test/selenium/CreateRemoveUserTest.php,"'password' detected in this variable name, review this potentially hardcoded credential.",47,BLOCKER,php:S2068
