,Mauricio_Meneghini_Fauth  ,William_Desportes  ,Michal_Cihar  ,Madhura_Jayaratne  ,Marc_Delisle  ,Atul_Pratap_Singh  ,Viduranga_Wijesooriya  ,Rouslan_Placella  ,Tyron_Madlener  ,Deven_Bansod  ,Osaid_Rehman_Nasir  ,Spun_Nakandala  ,Shamim_Rezaie  ,Bas_Brands  ,Andrew_Nicols  ,Amaia_Anabitarte  ,Tim_Hunt  ,Damyon_Wiese  ,Matt_Porritt  ,Tom_Dickman  ,David_Monllao  ,Ryan_Wyllie  ,Marina_Glancy  ,Brendan_Heywood  ,Mark_Nelson  ,sam_marshall  ,Mihail_Geshoski  ,Frederic_Massart  ,Juan_Leyva  ,Simey_Lameze  ,Ankit_Agarwal  ,David_Mudrak  ,Cameron_Ball  ,gthomas2  ,Ilya_Tregubov  ,Jun_Pataleta  ,John_Okely  ,Dan_Poltawski  ,Mark_Nielsen  ,Brendan_Anderson  ,Jean-Michel_Vedrine  ,Rossiani_Wijaya  ,Colin_Chambers  ,Petr_Skoda  ,nobelium  ,Andrew_Davis  ,Sam_Hemelryk  ,James_McQuillan  ,Yuliya_Bozhko  ,Sam_Chaffee  ,Mayank_Gupa  ,Eloy_Lafuente_(stronk7)  ,Andreas_Grabs  ,Dongsheng_Cai  ,Davo_Smith  ,Mikhail_Golenkov  ,Sara_Arjona  ,Helen_Foster  ,Rajesh_Taneja  ,skodak  ,Eric_Merrill  ,Inaki  ,Tony_Levi  ,Eloy_Lafuente_(stronk7),moodler  ,donal72  ,fiedorow  ,catch  ,effulgentsia  ,webchick  ,Lee_Rowlands  ,Alex_Pott  ,Nathaniel_Catchpole  ,xjm  ,Gabor_Hojtsy  ,Lauri_Eskola  ,Chris_McCafferty  ,Jennifer_Hodgdon  ,tim.plunkett  ,Daniel_Wehner  ,Dries_Buytaert  ,Angie_Byron  
php-S905,4.790076931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.790076931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javascript-S2259,96.94626153,0,5.193549725,1.731183242,10.38709945,1.731183242,0,1.731183242,0,0,0,0,29.43011511,5.193549725,3.462366483,0,0,5.193549725,3.462366483,1.731183242,0,3.462366483,0,0,0,1.731183242,0,1.731183242,0,0,0,0,0,0,0,0,0,1.731183242,0,0,0,0,0,29.43011511,0,0,1.731183242,0,0,0,0,0,0,1.731183242,1.731183242,0,0,0,0,0,0,0,0,0,0,0,0,0,1.731183242,1.731183242,0,1.731183242,0,0,0,5.193549725,0,0,0,0,0,0
php-S836,1.468148836,0,0,0,0,0,0,0,0,0,0,0,0,0,11.74519069,0,1.468148836,1.468148836,0,0,1.468148836,1.468148836,5.872595343,0,1.468148836,1.468148836,8.808893014,1.468148836,0,1.468148836,0,1.468148836,1.468148836,0,1.468148836,1.468148836,0,1.468148836,0,0,1.468148836,1.468148836,1.468148836,5.872595343,0,1.468148836,0,0,0,1.468148836,2.936297671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.468148836,0,0,0,5.872595343,1.468148836,1.468148836,0,0,0,1.468148836,0,0,0,0
php-S2201,5.831215625,0,0,0,0,0,0,0,0,0,0,0,0,0,2.915607813,0,0,5.831215625,0,0,0,0,5.831215625,0,0,0,0,2.915607813,2.915607813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.915607813,2.915607813,0,17.49364688,5.831215625,0,0,0,0,0,0,0,0,0
php-S2068,19.82722009,0,19.82722009,0,0,0,0,0,0,1.982722009,1.982722009,1.982722009,0,0,0,0,0,3.965444017,0,0,0,0,5.948166026,0,0,0,3.965444017,1.982722009,29.74083013,0,0,0,0,0,0,0,0,0,1.982722009,0,0,0,0,7.930888034,0,0,1.982722009,0,0,0,0,0,0,0,0,0,0,1.982722009,1.982722009,3.965444017,0,3.965444017,0,1.982722009,0,0,0,0,0,0,0,1.982722009,0,0,0,0,0,0,0,0,1.982722009,0
php-S1764,0,3.20511443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20511443,0,6.41022886,0,3.20511443,0,0,0,3.20511443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20511443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20511443,0,0,0,0,0,0,0,0,0,3.20511443,0,0,0,0
javascript-S2137,0,0,3.20511443,0,3.20511443,0,0,3.20511443,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41022886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20511443,0,0,0,0,0,6.41022886,0,0,3.20511443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20511443,0,0,0,0,0
javascript-DuplicatePropertyName,0,0,8.106222673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.053111336,0,0,0,0,4.053111336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.053111336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javascript-S2819,0,0,4.375039431,0,0,0,0,0,0,0,0,0,0,0,0,8.750078863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.375039431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javascript-S3981,0,0,0,0,4.375039431,0,0,0,0,0,0,0,0,0,0,0,0,0,4.375039431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.50015773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
