,catch  ,effulgentsia  ,webchick  ,Lee_Rowlands  ,Alex_Pott  ,Nathaniel_Catchpole  ,xjm  ,Gabor_Hojtsy  ,Lauri_Eskola  ,Chris_McCafferty  ,Jennifer_Hodgdon  ,tim.plunkett  ,Daniel_Wehner  ,Dries_Buytaert  ,Angie_Byron  
B-php-S1848,5.424575241,4.746503336,0,0.678071905,7.458790956,19.66408525,4.746503336,0,0,0.678071905,0,0.678071905,0.678071905,0,0
B-php-S836,1.415037499,0,0,0,5.660149997,1.415037499,1.415037499,0,0,0,1.415037499,0,0,0,0
B-php-S1764,2.415037499,0,0,0,0,0,0,0,0,0,2.415037499,0,0,0,0
V-php-S2964,2.490224996,0.830074999,0.830074999,4.980449991,4.980449991,6.640599988,0,0,0,0,0,0,0,0.830074999,2.490224996
B-javascript-S2259,0,1.678071905,1.678071905,0,1.678071905,0,0,0,5.034215715,0,0,0,0,0,0
B-php-S2201,0,1.678071905,1.678071905,0,10.06843143,3.35614381,0,0,0,0,0,0,0,0,0
B-Web-PageWithoutTitleCheck,0,0,2.415037499,0,9.660149997,0,0,0,0,0,0,0,0,0,0
B-php-S3699,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
B-javascript-S2583,0,0,2.415037499,0,0,0,0,0,2.415037499,0,0,0,0,0,0
B-javascript-S905,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
B-php-S3923,0,0,0,4,2,0,0,4,0,0,0,0,0,0,0
B-javascript-S2189,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
B-javascript-S3403,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
V-php-S2068,0,0,0,0,2.415037499,0,0,0,0,0,0,0,0,2.415037499,0
V-php-S2115,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
B-php-S1763,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
B-javascript-S2137,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
