Alex_Pott  	 /drupal/core/modules/system/tests/modules/csrf_race_test/src/Controller/TestController.php  	 vuln  	 63  	php:S2964
effulgentsia  	 /drupal/core/tests/Drupal/Tests/Core/Command/QuickStartTest.php  	 vuln  	 161  	php:S2964
Lee_Rowlands  	 /drupal/core/modules/quickedit/tests/src/FunctionalJavascript/QuickEditLoadingTest.php  	 vuln  	 315  	php:S2964
Lee_Rowlands  	 /drupal/core/lib/Drupal/Core/Command/ServerCommand.php  	 vuln  	 258  	php:S2964
Lee_Rowlands  	 /drupal/core/tests/Drupal/Tests/Core/Command/QuickStartTest.php  	 vuln  	 114  	php:S2964
Lee_Rowlands  	 /drupal/core/tests/Drupal/Tests/Core/Command/QuickStartTest.php  	 vuln  	 121  	php:S2964
Lee_Rowlands  	 /drupal/core/tests/Drupal/Tests/Core/Command/QuickStartTest.php  	 vuln  	 215  	php:S2964
Lee_Rowlands  	 /drupal/core/tests/Drupal/Tests/Core/Command/QuickStartTest.php  	 vuln  	 222  	php:S2964
Alex_Pott  	 /drupal/core/modules/migrate/tests/src/Kernel/process/FileCopyTest.php  	 vuln  	 97  	php:S2964
Nathaniel_Catchpole  	 /drupal/core/modules/content_translation/tests/src/Functional/ContentTranslationUITestBase.php  	 vuln  	 549  	php:S2964
Nathaniel_Catchpole  	 /drupal/core/modules/content_translation/tests/src/Functional/ContentTranslationUITestBase.php  	 vuln  	 612  	php:S2964
Nathaniel_Catchpole  	 /drupal/core/modules/datetime_range/tests/src/Kernel/DateRangeItemTest.php  	 vuln  	 99  	php:S2964
Nathaniel_Catchpole  	 /drupal/core/modules/content_translation/src/Tests/ContentTranslationUITestBase.php  	 vuln  	 619  	php:S2964
Nathaniel_Catchpole  	 /drupal/core/modules/node/tests/src/Functional/NodeFormSaveChangedTimeTest.php  	 vuln  	 70  	php:S2964
Alex_Pott  	 /drupal/core/modules/content_translation/src/Tests/ContentTranslationUITestBase.php  	 vuln  	 556  	php:S2964
Alex_Pott  	 /drupal/core/modules/system/tests/modules/entity_test/src/Entity/EntityTestMulChanged.php  	 vuln  	 74  	php:S2964
Alex_Pott  	 /drupal/core/modules/tracker/tests/src/Functional/TrackerTest.php  	 vuln  	 309  	php:S2964
Alex_Pott  	 /drupal/core/modules/tracker/tests/src/Functional/TrackerTest.php  	 vuln  	 329  	php:S2964
Alex_Pott  	 /drupal/core/modules/user/tests/src/Unit/UserAuthTest.php  	 vuln  	 55  	php:S2068
Nathaniel_Catchpole  	 /drupal/core/tests/Drupal/Tests/Component/PhpStorage/MTimeProtectedFileStorageBase.php  	 vuln  	 106  	php:S2964
Nathaniel_Catchpole  	 /drupal/core/modules/system/tests/src/Functional/System/ShutdownFunctionsTest.php  	 vuln  	 48  	php:S2964
Alex_Pott  	 /drupal/core/lib/Drupal/Core/Database/Driver/sqlite/Connection.php  	 vuln  	 116  	php:S2115
webchick  	 /drupal/core/modules/locale/tests/src/Functional/LocaleUpdateCronTest.php  	 vuln  	 107  	php:S2964
Dries_Buytaert  	 /drupal/core/modules/system/tests/src/Functional/FileTransfer/FileTransferTest.php  	 vuln  	 18  	php:S2068
catch  	 /drupal/core/modules/system/tests/src/Functional/System/CronRunTest.php  	 vuln  	 76  	php:S2964
Angie_Byron  	 /drupal/core/modules/system/tests/src/Functional/Session/SessionTest.php  	 vuln  	 243  	php:S2964
Angie_Byron  	 /drupal/core/modules/system/tests/src/Functional/Session/SessionTest.php  	 vuln  	 250  	php:S2964
Angie_Byron  	 /drupal/core/modules/system/tests/src/Functional/Session/SessionTest.php  	 vuln  	 257  	php:S2964
catch  	 /drupal/core/modules/statistics/tests/src/Functional/StatisticsAdminTest.php  	 vuln  	 166  	php:S2964
catch  	 /drupal/core/modules/aggregator/tests/src/Functional/UpdateFeedItemTest.php  	 vuln  	 61  	php:S2964
Dries_Buytaert  	 /drupal/core/modules/system/tests/src/Functional/Lock/LockFunctionalTest.php  	 vuln  	 49  	php:S2964
Nathaniel_Catchpole  	 /drupal/core/modules/tracker/tests/src/Functional/TrackerTest.php  	 vuln  	 259  	php:S2964
