,Mauricio_Meneghini_Fauth  ,William_Desportes  ,Michal_Cihar  ,Madhura_Jayaratne  ,Marc_Delisle  ,Atul_Pratap_Singh  ,Viduranga_Wijesooriya  ,Rouslan_Placella  ,Tyron_Madlener  ,Deven_Bansod  ,Osaid_Rehman_Nasir  ,Spun_Nakandala  
B-php-S905,2.700439718,0,0,0,0,0,0,0,0,0,0,0
B-javascript-S2259,50.01274858,0,2.679254388,0.893084796,5.358508777,0.893084796,0,0.893084796,0,0,0,0
B-php-S836,2.700439718,0,0,0,0,0,0,0,0,0,0,0
B-php-S2201,5.400879436,0,0,0,0,0,0,0,0,0,0,0
V-php-S2068,11.15477217,0,11.15477217,0,0,0,0,0,0,1.115477217,1.115477217,1.115477217
B-php-S1764,0,2.700439718,0,0,0,0,0,0,0,0,0,0
B-javascript-S2137,0,0,1.700439718,0,1.700439718,0,0,1.700439718,0,0,0,0
B-javascript-DuplicatePropertyName,0,0,5.400879436,0,0,0,0,0,0,0,0,0
V-javascript-S2819,0,0,2.700439718,0,0,0,0,0,0,0,0,0
B-javascript-S3981,0,0,0,0,2.700439718,0,0,0,0,0,0,0
B-javascript-S2583,0,0,0,0,10.20263831,0,3.400879436,0,1.700439718,0,0,0
B-javascript-S3812,0,0,0,0,2.700439718,0,0,0,0,0,0,0
B-javascript-S905,0,0,0,0,2.700439718,0,0,0,0,0,0,0
B-javascript-S3001,0,0,0,0,5.400879436,0,0,0,0,0,0,0
B-javascript-S3403,0,0,0,0,5.400879436,0,0,0,0,0,0,0
V-php-S2964,0,0,0,0,0,0,0,0,0,5.400879436,0,0
