Maurício_Meneghini_Fauth  	 /phpmyadmin/libraries/classes/Controllers/ExportController.php  	 bug  	 619  	php:S905
Maurício_Meneghini_Fauth  	 /phpmyadmin/js/functions.js  	 bug  	 2989  	javascript:S2259
Maurício_Meneghini_Fauth  	 /phpmyadmin/js/table/operations.js  	 bug  	 174  	javascript:S2259
Maurício_Meneghini_Fauth  	 /phpmyadmin/js/functions.js  	 bug  	 3846  	javascript:S2259
Maurício_Meneghini_Fauth  	 /phpmyadmin/js/config.js  	 bug  	 826  	javascript:S2259
Maurício_Meneghini_Fauth  	 /phpmyadmin/js/database/operations.js  	 bug  	 72  	javascript:S2259
Maurício_Meneghini_Fauth  	 /phpmyadmin/js/database/operations.js  	 bug  	 101  	javascript:S2259
Maurício_Meneghini_Fauth  	 /phpmyadmin/js/database/operations.js  	 bug  	 126  	javascript:S2259
Maurício_Meneghini_Fauth  	 /phpmyadmin/js/database/operations.js  	 bug  	 161  	javascript:S2259
Maurício_Meneghini_Fauth  	 /phpmyadmin/js/database/search.js  	 bug  	 149  	javascript:S2259
Maurício_Meneghini_Fauth  	 /phpmyadmin/js/database/search.js  	 bug  	 181  	javascript:S2259
Maurício_Meneghini_Fauth  	 /phpmyadmin/js/database/structure.js  	 bug  	 321  	javascript:S2259
Maurício_Meneghini_Fauth  	 /phpmyadmin/js/database/structure.js  	 bug  	 374  	javascript:S2259
Maurício_Meneghini_Fauth  	 /phpmyadmin/js/functions.js  	 bug  	 3021  	javascript:S2259
Maurício_Meneghini_Fauth  	 /phpmyadmin/js/functions.js  	 bug  	 3221  	javascript:S2259
Maurício_Meneghini_Fauth  	 /phpmyadmin/js/functions.js  	 bug  	 3239  	javascript:S2259
Maurício_Meneghini_Fauth  	 /phpmyadmin/js/functions.js  	 bug  	 4112  	javascript:S2259
Maurício_Meneghini_Fauth  	 /phpmyadmin/js/functions.js  	 bug  	 4619  	javascript:S2259
Maurício_Meneghini_Fauth  	 /phpmyadmin/js/functions.js  	 bug  	 4640  	javascript:S2259
