,Alex_Pott  ,effulgentsia  ,Lee_Rowlands  ,Nathaniel_Catchpole  ,webchick  ,Dries_Buytaert  ,catch  ,Angie_Byron  ,xjm  ,Gabor_Hojtsy  ,Lauri_Eskola  ,Chris_McCafferty  ,Jennifer_Hodgdon  ,tim.plunkett  ,Daniel_Wehner  
php-S2964,6,1,6,8,1,1,3,3,,,,,,,
php-S2068,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
php-S2115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
php-S1848,11,7,1,29,0,0,8,0,7,0,0,1,0,1,1
php-S2201,6,1,0,2,1,0,0,0,0,0,0,0,0,0,0
Web-PageWithoutTitleCheck,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
javascript-S2259,1,1,0,0,1,0,0,0,0,0,3,0,0,0,0
javascript-S2189,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
php-S3923,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0
php-S836,4,0,0,1,0,0,1,0,1,0,0,0,1,0,0
javascript-S3403,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
php-S3699,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
javascript-S2583,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
javascript-S905,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
php-S1764,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
php-S1763,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
javascript-S2137,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
