File,Message,Line,Severity
drupal/core/modules/path_alias/tests/src/Unit/DeprecatedClassesTest.php,"Either remove this useless object instantiation of class ""PathSubscriber"" or use it",112,MAJOR
drupal/core/modules/path_alias/tests/src/Unit/DeprecatedClassesTest.php,"Either remove this useless object instantiation of class ""PathProcessorAlias"" or use it",129,MAJOR
drupal/core/modules/path_alias/tests/src/Unit/DeprecatedClassesTest.php,"Either remove this useless object instantiation of class ""CoreAliasManager"" or use it",146,MAJOR
drupal/core/modules/path_alias/tests/src/Unit/DeprecatedClassesTest.php,"Either remove this useless object instantiation of class ""CoreAliasWhitelist"" or use it",163,MAJOR
drupal/core/themes/claro/js/tabledrag.js,"TypeError can be thrown as ""_ret"" might be null or undefined here.",594,MAJOR
drupal/core/modules/media/tests/fixtures/oembed/video_vimeo-no-title.html,Add a <title> tag to this page.,3,MAJOR
drupal/core/modules/field/src/Plugin/migrate/process/d7/FieldInstanceOptionTranslation.php,Remove this conditional structure or edit its code blocks so that they're not all the same.,31,MAJOR
drupal/core/modules/field/src/Plugin/migrate/process/d7/FieldOptionTranslation.php,Remove this conditional structure or edit its code blocks so that they're not all the same.,33,MAJOR
drupal/core/tests/Drupal/Tests/Core/Controller/AjaxRendererTest.php,"Either remove this useless object instantiation of class ""AjaxRenderer"" or use it",98,MAJOR
drupal/core/tests/Drupal/Tests/Core/Controller/DialogRendererTest.php,"Either remove this useless object instantiation of class ""DialogRenderer"" or use it",28,MAJOR
drupal/core/tests/Drupal/KernelTests/Core/Config/FileStorageFactoryTest.php,"Either remove this useless object instantiation of class ""Settings"" or use it",34,MAJOR
drupal/core/tests/Drupal/Tests/Core/Cache/BackendChainImplementationUnitTest.php,"Either remove this useless object instantiation of class ""BackendChain"" or use it",310,MAJOR
drupal/core/tests/Drupal/KernelTests/Core/Entity/FieldableEntityDefinitionUpdateTest.php,"Either remove this useless object instantiation of class ""Settings"" or use it",795,MAJOR
drupal/core/modules/jsonapi/src/Controller/EntityResource.php,"The return value of ""array_reduce"" must be used.",335,MAJOR
drupal/core/modules/jsonapi/tests/src/Unit/Query/EntityConditionGroupTest.php,"Either remove this useless object instantiation of class ""EntityConditionGroup"" or use it",36,MAJOR
drupal/core/tests/Drupal/Tests/Component/Plugin/ConfigurablePluginInterfaceTest.php,"Either remove this useless object instantiation of class ""ConfigurablePluginInterfaceTestClass"" or use it",23,MAJOR
drupal/core/tests/Drupal/KernelTests/Core/Entity/FieldableEntityDefinitionUpdateTest.php,"Either remove this useless object instantiation of class ""Settings"" or use it",117,MAJOR
drupal/core/modules/views/tests/src/Kernel/ViewElementTest.php,"The return value of ""serialize"" must be used.",86,MAJOR
drupal/core/modules/layout_builder/tests/src/Unit/SectionStorageManagerTest.php,"Either remove this useless object instantiation of class ""SectionStorageManager"" or use it",102,MAJOR
drupal/core/modules/media/tests/fixtures/oembed/video_youtube.html,Add a <title> tag to this page.,3,MAJOR
