File,Message,Line,Severity
moodle/lib/babel-polyfill/polyfill.js,"The return value of ""from"" must be used.",3497,MAJOR
moodle/lib/amd/src/adapter.js,"TypeError can be thrown as ""window"" might be null or undefined here.",264,MAJOR
moodle/lib/amd/src/adapter.js,"TypeError can be thrown as ""window"" might be null or undefined here.",340,MAJOR
moodle/lib/amd/src/adapter.js,"TypeError can be thrown as ""window"" might be null or undefined here.",512,MAJOR
moodle/lib/amd/src/adapter.js,"TypeError can be thrown as ""c"" might be null or undefined here.",1060,MAJOR
moodle/lib/amd/src/adapter.js,"Change this condition so that it does not always evaluate to ""false""; some subsequent code is never executed.",1130,MAJOR
moodle/lib/amd/src/adapter.js,"TypeError can be thrown as ""args"" might be null or undefined here.",1275,MAJOR
moodle/lib/amd/src/adapter.js,"TypeError can be thrown as ""window"" might be null or undefined here.",1877,MAJOR
moodle/lib/amd/src/adapter.js,"TypeError can be thrown as ""window"" might be null or undefined here.",1889,MAJOR
moodle/lib/amd/src/adapter.js,"TypeError can be thrown as ""window"" might be null or undefined here.",1970,MAJOR
moodle/lib/amd/src/adapter.js,"TypeError can be thrown as ""window"" might be null or undefined here.",2003,MAJOR
moodle/lib/amd/src/adapter.js,"TypeError can be thrown as ""window"" might be null or undefined here.",2058,MAJOR
moodle/lib/amd/src/adapter.js,"TypeError can be thrown as ""window"" might be null or undefined here.",2114,MAJOR
moodle/lib/amd/src/adapter.js,"TypeError can be thrown as ""window"" might be null or undefined here.",2137,MAJOR
moodle/lib/amd/src/adapter.js,"TypeError can be thrown as ""c"" might be null or undefined here.",2241,MAJOR
moodle/lib/amd/src/adapter.js,"TypeError can be thrown as ""window"" might be null or undefined here.",2305,MAJOR
moodle/lib/amd/src/adapter.js,"TypeError can be thrown as ""window"" might be null or undefined here.",2372,MAJOR
moodle/lib/amd/src/adapter.js,"TypeError can be thrown as ""window"" might be null or undefined here.",2434,MAJOR
moodle/lib/amd/src/adapter.js,"TypeError can be thrown as ""window"" might be null or undefined here.",2557,MAJOR
moodle/lib/editor/atto/plugins/h5p/yui/build/moodle-atto_h5p-button/moodle-atto_h5p-button-debug.js,"TypeError can be thrown as ""h5pfile"" might be null or undefined here.",534,MAJOR
moodle/lib/editor/atto/plugins/h5p/yui/build/moodle-atto_h5p-button/moodle-atto_h5p-button.js,"TypeError can be thrown as ""h5pfile"" might be null or undefined here.",534,MAJOR
moodle/lib/editor/atto/plugins/h5p/yui/src/button/js/button.js,"TypeError can be thrown as ""h5pfile"" might be null or undefined here.",532,MAJOR
moodle/grade/grading/form/lib.php,Review the data-flow - use of uninitialized value.,556,MAJOR
moodle/lib/h5p/doc/spec_en.html,Replace this <i> tag by <em>.,6,MINOR
moodle/lib/h5p/doc/spec_en.html,Replace this <i> tag by <em>.,12,MINOR
moodle/lib/h5p/doc/spec_en.html,Replace this <i> tag by <em>.,13,MINOR
moodle/lib/h5p/doc/spec_en.html,Replace this <i> tag by <em>.,14,MINOR
moodle/lib/h5p/doc/spec_en.html,Replace this <i> tag by <em>.,18,MINOR
moodle/lib/h5p/doc/spec_en.html,Replace this <i> tag by <em>.,67,MINOR
moodle/lib/h5p/doc/spec_en.html,Replace this <i> tag by <em>.,75,MINOR
moodle/lib/h5p/doc/spec_en.html,Replace this <i> tag by <em>.,75,MINOR
moodle/lib/h5p/doc/spec_en.html,Replace this <i> tag by <em>.,75,MINOR
moodle/lib/h5p/doc/spec_en.html,Replace this <i> tag by <em>.,75,MINOR
moodle/lib/h5p/doc/spec_en.html,Replace this <i> tag by <em>.,79,MINOR
moodle/lib/h5p/doc/spec_en.html,Replace this <i> tag by <em>.,79,MINOR
moodle/lib/h5p/doc/spec_en.html,Replace this <i> tag by <em>.,79,MINOR
moodle/lib/h5p/doc/spec_en.html,Replace this <i> tag by <em>.,79,MINOR
moodle/lib/h5p/doc/spec_en.html,Replace this <i> tag by <em>.,99,MINOR
moodle/lib/h5p/doc/spec_en.html,Replace this <i> tag by <em>.,99,MINOR
moodle/lib/h5p/doc/spec_en.html,Replace this <i> tag by <em>.,101,MINOR
moodle/lib/h5p/doc/spec_en.html,Replace this <i> tag by <em>.,101,MINOR
moodle/lib/h5p/doc/spec_en.html,Replace this <i> tag by <em>.,101,MINOR
moodle/lib/h5p/doc/spec_en.html,Replace this <i> tag by <em>.,106,MINOR
moodle/lib/h5p/doc/spec_en.html,Replace this <i> tag by <em>.,106,MINOR
moodle/lib/h5p/js/h5p-content-upgrade-process.js,"Was ""+="" meant instead?",118,MAJOR
moodle/lib/h5p/js/h5p-version.js,"Was ""+="" meant instead?",14,MAJOR
moodle/lib/h5p/js/h5p-version.js,"Was ""+="" meant instead?",15,MAJOR
moodle/lib/h5p/js/h5p-version.js,"Was ""+="" meant instead?",20,MAJOR
moodle/lib/h5p/js/h5p-version.js,"Was ""+="" meant instead?",21,MAJOR
moodle/lib/h5p/js/h5p-version.js,"Was ""+="" meant instead?",24,MAJOR
moodle/lib/h5p/js/h5p-version.js,"Was ""+="" meant instead?",25,MAJOR
moodle/mod/quiz/tests/behat/behat_mod_quiz.php,Remove this conditional structure or edit its code blocks so that they're not all the same.,54,MAJOR
moodle/calendar/lib.php,Remove this unreachable code.,2224,MAJOR
moodle/media/player/videojs/amd/src/video-lazy.js,"Fix this expression; length of ""value"" is always greater or equal to zero.",7399,MAJOR
moodle/media/player/videojs/amd/src/video-lazy.js,"TypeError can be thrown as ""object"" might be null or undefined here.",7506,MAJOR
moodle/media/player/videojs/amd/src/video-lazy.js,TypeError can be thrown as this operand might have primitive type.,5004,CRITICAL
moodle/media/player/videojs/amd/src/video-lazy.js,TypeError can be thrown as this operand might have primitive type.,5236,CRITICAL
moodle/media/player/videojs/amd/src/video-lazy.js,"TypeError can be thrown as ""descriptor"" might be null or undefined here.",21718,MAJOR
moodle/media/player/videojs/amd/src/video-lazy.js,"TypeError can be thrown as ""lastMatchedSample"" might be null or undefined here.",35884,MAJOR
moodle/media/player/videojs/amd/src/video-lazy.js,"Remove this ""throw"" statement from this ""finally"" block.",38122,CRITICAL
moodle/media/player/videojs/amd/src/video-lazy.js,"Remove this ""==="" check; it will always be false. Did you mean to use ""==""?",51629,MAJOR
moodle/media/player/videojs/amd/src/video-lazy.js,"Remove this ""==="" check; it will always be false. Did you mean to use ""==""?",51665,MAJOR
moodle/analytics/classes/calculation_info.php,Review the data-flow - use of uninitialized value.,147,MAJOR
moodle/lib/babel-polyfill/polyfill.js,"TypeError can be thrown as ""result"" might be null or undefined here.",585,MAJOR
moodle/lib/babel-polyfill/polyfill.js,"Do not use ""Infinity"" to declare a variable - use another name.",3063,MAJOR
moodle/lib/babel-polyfill/polyfill.js,"Change this condition so that it does not always evaluate to ""true""; some subsequent code is never executed.",3772,MAJOR
moodle/lib/babel-polyfill/polyfill.js,"Remove this ""!=="" check; it will always be true. Did you mean to use ""!=""?",3772,MAJOR
moodle/lib/babel-polyfill/polyfill.js,"Do not use ""undefined"" to declare a variable - use another name.",6485,MAJOR
moodle/message/amd/src/message_drawer_view_conversation_patcher.js,"Change this condition so that it does not always evaluate to ""false""; some subsequent code is never executed.",193,MAJOR
moodle/message/amd/src/message_drawer_view_conversation_patcher.js,"Change this condition so that it does not always evaluate to ""false""; some subsequent code is never executed.",194,MAJOR
moodle/enrol/database/tests/sync_test.php,Review the data-flow - use of uninitialized value.,104,MAJOR
moodle/badges/classes/badge.php,Remove this unreachable code.,254,MAJOR
moodle/badges/classes/badge.php,Remove this unreachable code.,311,MAJOR
moodle/lib/form/course.php,Review the data-flow - use of uninitialized value.,108,MAJOR
moodle/mod/forum/classes/local/exporters/group.php,Review the data-flow - use of uninitialized value.,91,MAJOR
moodle/mod/forum/classes/local/exporters/group.php,Review the data-flow - use of uninitialized value.,93,MAJOR
moodle/mod/forum/deprecatedlib.php,Review the data-flow - use of uninitialized value.,1638,MAJOR
moodle/lib/setuplib.php,Remove or correct this useless self-assignment,1845,MAJOR
moodle/mod/forum/classes/local/exporters/post.php,"Identical sub-expressions on both sides of operator ""&&""",464,MAJOR
moodle/message/amd/src/message_drawer_router.js,"TypeError can be thrown as ""firstFocusable"" might be null or undefined here.",158,MAJOR
moodle/lib/tests/behat/app_behat_runtime.js,This expression might have a value which cannot be called; it might not be a function.,623,MAJOR
moodle/mod/assign/locallib.php,Review the data-flow - use of uninitialized value.,9276,MAJOR
moodle/message/amd/src/message_drawer_view_conversation.js,"TypeError can be thrown as ""otherUser"" might be null or undefined here.",346,MAJOR
moodle/message/amd/src/message_drawer_view_conversation.js,"Remove this ""!=="" check; it will always be true. Did you mean to use ""!=""?",1949,MAJOR
moodle/lib/accesslib.php,Remove this unreachable code.,6316,MAJOR
moodle/backup/util/ui/classes/privacy/provider.php,Review the data-flow - use of uninitialized value.,323,MAJOR
moodle/notes/tests/privacy_test.php,Review the data-flow - use of uninitialized value.,407,MAJOR
moodle/notes/tests/privacy_test.php,Review the data-flow - use of uninitialized value.,409,MAJOR
moodle/notes/tests/privacy_test.php,Review the data-flow - use of uninitialized value.,425,MAJOR
moodle/notes/tests/privacy_test.php,Review the data-flow - use of uninitialized value.,484,MAJOR
moodle/notes/tests/privacy_test.php,Review the data-flow - use of uninitialized value.,486,MAJOR
moodle/notes/tests/privacy_test.php,Review the data-flow - use of uninitialized value.,489,MAJOR
moodle/admin/tool/dataprivacy/classes/expiry_info.php,"The return value of ""array_merge"" must be used.",199,MAJOR
moodle/admin/tool/dataprivacy/tests/expired_contexts_test.php,"Either remove this useless object instantiation of class ""expired_context"" or use it",444,MAJOR
moodle/admin/tool/dataprivacy/tests/expired_contexts_test.php,"Either remove this useless object instantiation of class ""expired_context"" or use it",484,MAJOR
moodle/admin/tool/dataprivacy/tests/expired_contexts_test.php,"Either remove this useless object instantiation of class ""expired_context"" or use it",1358,MAJOR
moodle/admin/tool/dataprivacy/tests/expired_contexts_test.php,"Either remove this useless object instantiation of class ""expired_context"" or use it",1517,MAJOR
moodle/admin/tool/dataprivacy/tests/expired_contexts_test.php,"Either remove this useless object instantiation of class ""expired_context"" or use it",1569,MAJOR
moodle/lib/editor/atto/plugins/html/yui/build/moodle-atto_html-beautify/moodle-atto_html-beautify-debug.js,"Change this condition so that it does not always evaluate to ""true""; some subsequent code is never executed.",498,MAJOR
moodle/lib/editor/atto/plugins/html/yui/build/moodle-atto_html-beautify/moodle-atto_html-beautify-debug.js,"Change this condition so that it does not always evaluate to ""true""; some subsequent code is never executed.",3048,MAJOR
moodle/lib/editor/atto/plugins/html/yui/build/moodle-atto_html-beautify/moodle-atto_html-beautify-debug.js,"Change this condition so that it does not always evaluate to ""true""; some subsequent code is never executed.",4171,MAJOR
moodle/lib/editor/atto/plugins/html/yui/build/moodle-atto_html-beautify/moodle-atto_html-beautify-debug.js,"Change this condition so that it does not always evaluate to ""false""; some subsequent code is never executed.",4726,MAJOR
moodle/lib/editor/atto/plugins/html/yui/build/moodle-atto_html-beautify/moodle-atto_html-beautify.js,"Change this condition so that it does not always evaluate to ""true""; some subsequent code is never executed.",498,MAJOR
moodle/lib/editor/atto/plugins/html/yui/build/moodle-atto_html-beautify/moodle-atto_html-beautify.js,"Change this condition so that it does not always evaluate to ""true""; some subsequent code is never executed.",3048,MAJOR
moodle/lib/editor/atto/plugins/html/yui/build/moodle-atto_html-beautify/moodle-atto_html-beautify.js,"Change this condition so that it does not always evaluate to ""true""; some subsequent code is never executed.",4171,MAJOR
