File,Message,Line,Severity,Rule
phpmyadmin/libraries/classes/Controllers/ExportController.php,Remove or refactor this statement.,619,MAJOR,php:S905
phpmyadmin/js/functions.js,"TypeError can be thrown as ""data"" might be null or undefined here.",2989,MAJOR,javascript:S2259
phpmyadmin/js/table/operations.js,"TypeError can be thrown as ""data"" might be null or undefined here.",174,MAJOR,javascript:S2259
phpmyadmin/js/functions.js,"TypeError can be thrown as ""data"" might be null or undefined here.",3846,MAJOR,javascript:S2259
phpmyadmin/js/config.js,"TypeError can be thrown as ""data"" might be null or undefined here.",826,MAJOR,javascript:S2259
phpmyadmin/js/database/operations.js,"TypeError can be thrown as ""data"" might be null or undefined here.",72,MAJOR,javascript:S2259
phpmyadmin/js/database/operations.js,"TypeError can be thrown as ""data"" might be null or undefined here.",101,MAJOR,javascript:S2259
phpmyadmin/js/database/operations.js,"TypeError can be thrown as ""data"" might be null or undefined here.",126,MAJOR,javascript:S2259
phpmyadmin/js/database/operations.js,"TypeError can be thrown as ""data"" might be null or undefined here.",161,MAJOR,javascript:S2259
phpmyadmin/js/database/search.js,"TypeError can be thrown as ""data"" might be null or undefined here.",149,MAJOR,javascript:S2259
phpmyadmin/js/database/search.js,"TypeError can be thrown as ""data"" might be null or undefined here.",181,MAJOR,javascript:S2259
phpmyadmin/js/database/structure.js,"TypeError can be thrown as ""data"" might be null or undefined here.",321,MAJOR,javascript:S2259
phpmyadmin/js/database/structure.js,"TypeError can be thrown as ""data"" might be null or undefined here.",374,MAJOR,javascript:S2259
phpmyadmin/js/functions.js,"TypeError can be thrown as ""data"" might be null or undefined here.",3021,MAJOR,javascript:S2259
phpmyadmin/js/functions.js,"TypeError can be thrown as ""data"" might be null or undefined here.",3221,MAJOR,javascript:S2259
phpmyadmin/js/functions.js,"TypeError can be thrown as ""data"" might be null or undefined here.",3239,MAJOR,javascript:S2259
phpmyadmin/js/functions.js,"TypeError can be thrown as ""data"" might be null or undefined here.",4112,MAJOR,javascript:S2259
phpmyadmin/js/functions.js,"TypeError can be thrown as ""data"" might be null or undefined here.",4619,MAJOR,javascript:S2259
phpmyadmin/js/functions.js,"TypeError can be thrown as ""data"" might be null or undefined here.",4640,MAJOR,javascript:S2259
phpmyadmin/js/gis_data_editor.js,"TypeError can be thrown as ""data"" might be null or undefined here.",160,MAJOR,javascript:S2259
phpmyadmin/js/gis_data_editor.js,"TypeError can be thrown as ""data"" might be null or undefined here.",209,MAJOR,javascript:S2259
phpmyadmin/js/gis_data_editor.js,"TypeError can be thrown as ""data"" might be null or undefined here.",263,MAJOR,javascript:S2259
phpmyadmin/js/gis_data_editor.js,"TypeError can be thrown as ""data"" might be null or undefined here.",282,MAJOR,javascript:S2259
phpmyadmin/js/indexes.js,"TypeError can be thrown as ""data"" might be null or undefined here.",675,MAJOR,javascript:S2259
phpmyadmin/js/makegrid.js,"TypeError can be thrown as ""data"" might be null or undefined here.",1036,MAJOR,javascript:S2259
phpmyadmin/js/makegrid.js,"TypeError can be thrown as ""data"" might be null or undefined here.",1412,MAJOR,javascript:S2259
phpmyadmin/js/navigation.js,"TypeError can be thrown as ""data"" might be null or undefined here.",536,MAJOR,javascript:S2259
phpmyadmin/js/navigation.js,"TypeError can be thrown as ""data"" might be null or undefined here.",570,MAJOR,javascript:S2259
phpmyadmin/js/navigation.js,"TypeError can be thrown as ""data"" might be null or undefined here.",598,MAJOR,javascript:S2259
phpmyadmin/js/navigation.js,"TypeError can be thrown as ""data"" might be null or undefined here.",716,MAJOR,javascript:S2259
phpmyadmin/js/navigation.js,"TypeError can be thrown as ""data"" might be null or undefined here.",993,MAJOR,javascript:S2259
phpmyadmin/js/navigation.js,"TypeError can be thrown as ""data"" might be null or undefined here.",1039,MAJOR,javascript:S2259
phpmyadmin/js/navigation.js,"TypeError can be thrown as ""data"" might be null or undefined here.",1126,MAJOR,javascript:S2259
phpmyadmin/js/server/databases.js,"TypeError can be thrown as ""data"" might be null or undefined here.",89,MAJOR,javascript:S2259
phpmyadmin/js/server/databases.js,"TypeError can be thrown as ""data"" might be null or undefined here.",134,MAJOR,javascript:S2259
phpmyadmin/js/server/privileges.js,"TypeError can be thrown as ""data"" might be null or undefined here.",186,MAJOR,javascript:S2259
phpmyadmin/js/server/privileges.js,"TypeError can be thrown as ""data"" might be null or undefined here.",224,MAJOR,javascript:S2259
phpmyadmin/js/server/privileges.js,"TypeError can be thrown as ""data"" might be null or undefined here.",251,MAJOR,javascript:S2259
phpmyadmin/js/server/privileges.js,"TypeError can be thrown as ""data"" might be null or undefined here.",302,MAJOR,javascript:S2259
phpmyadmin/js/server/privileges.js,"TypeError can be thrown as ""data"" might be null or undefined here.",336,MAJOR,javascript:S2259
phpmyadmin/js/server/privileges.js,"TypeError can be thrown as ""data"" might be null or undefined here.",366,MAJOR,javascript:S2259
phpmyadmin/js/server/variables.js,"TypeError can be thrown as ""data"" might be null or undefined here.",109,MAJOR,javascript:S2259
phpmyadmin/js/table/chart.js,"TypeError can be thrown as ""data"" might be null or undefined here.",382,MAJOR,javascript:S2259
phpmyadmin/js/table/operations.js,"TypeError can be thrown as ""data"" might be null or undefined here.",48,MAJOR,javascript:S2259
phpmyadmin/js/table/operations.js,"TypeError can be thrown as ""data"" might be null or undefined here.",71,MAJOR,javascript:S2259
phpmyadmin/js/table/operations.js,"TypeError can be thrown as ""data"" might be null or undefined here.",121,MAJOR,javascript:S2259
phpmyadmin/js/table/operations.js,"TypeError can be thrown as ""data"" might be null or undefined here.",247,MAJOR,javascript:S2259
phpmyadmin/js/table/operations.js,"TypeError can be thrown as ""data"" might be null or undefined here.",281,MAJOR,javascript:S2259
phpmyadmin/js/table/operations.js,"TypeError can be thrown as ""data"" might be null or undefined here.",316,MAJOR,javascript:S2259
phpmyadmin/js/table/relation.js,"TypeError can be thrown as ""data"" might be null or undefined here.",115,MAJOR,javascript:S2259
phpmyadmin/js/table/structure.js,"TypeError can be thrown as ""data"" might be null or undefined here.",228,MAJOR,javascript:S2259
phpmyadmin/js/table/zoom_plot_jqplot.js,"TypeError can be thrown as ""data"" might be null or undefined here.",388,MAJOR,javascript:S2259
