Creation Date,Update Date,Rule,Status,Severity,File,Line,Message
2019-12-18T12:12:07-0500,2020-01-14T19:38:15-0500,javascript:S2201,OPEN,MAJOR,moodle:lib/babel-polyfill/polyfill.js,3497,"The return value of ""from"" must be used."
2019-12-09T04:28:25-0500,2020-01-14T19:38:15-0500,javascript:S2259,OPEN,MAJOR,moodle:lib/amd/src/adapter.js,264,"TypeError can be thrown as ""window"" might be null or undefined here."
2019-12-09T04:28:25-0500,2020-01-14T19:38:15-0500,javascript:S2259,OPEN,MAJOR,moodle:lib/amd/src/adapter.js,340,"TypeError can be thrown as ""window"" might be null or undefined here."
2019-12-09T04:28:25-0500,2020-01-14T19:38:15-0500,javascript:S2259,OPEN,MAJOR,moodle:lib/amd/src/adapter.js,512,"TypeError can be thrown as ""window"" might be null or undefined here."
2019-12-09T04:28:25-0500,2020-01-14T19:38:15-0500,javascript:S2259,OPEN,MAJOR,moodle:lib/amd/src/adapter.js,1060,"TypeError can be thrown as ""c"" might be null or undefined here."
2019-12-09T04:28:25-0500,2020-01-14T19:38:15-0500,javascript:S2583,OPEN,MAJOR,moodle:lib/amd/src/adapter.js,1130,"Change this condition so that it does not always evaluate to ""false""; some subsequent code is never executed."
2019-12-09T04:28:25-0500,2020-01-14T19:38:15-0500,javascript:S2259,OPEN,MAJOR,moodle:lib/amd/src/adapter.js,1275,"TypeError can be thrown as ""args"" might be null or undefined here."
2019-12-09T04:28:25-0500,2020-01-14T19:38:15-0500,javascript:S2259,OPEN,MAJOR,moodle:lib/amd/src/adapter.js,1877,"TypeError can be thrown as ""window"" might be null or undefined here."
2019-12-09T04:28:25-0500,2020-01-14T19:38:15-0500,javascript:S2259,OPEN,MAJOR,moodle:lib/amd/src/adapter.js,1889,"TypeError can be thrown as ""window"" might be null or undefined here."
2019-12-09T04:28:25-0500,2020-01-14T19:38:15-0500,javascript:S2259,OPEN,MAJOR,moodle:lib/amd/src/adapter.js,1970,"TypeError can be thrown as ""window"" might be null or undefined here."
2019-12-09T04:28:25-0500,2020-01-14T19:38:15-0500,javascript:S2259,OPEN,MAJOR,moodle:lib/amd/src/adapter.js,2003,"TypeError can be thrown as ""window"" might be null or undefined here."
2019-12-09T04:28:25-0500,2020-01-14T19:38:15-0500,javascript:S2259,OPEN,MAJOR,moodle:lib/amd/src/adapter.js,2058,"TypeError can be thrown as ""window"" might be null or undefined here."
2019-12-09T04:28:25-0500,2020-01-14T19:38:15-0500,javascript:S2259,OPEN,MAJOR,moodle:lib/amd/src/adapter.js,2114,"TypeError can be thrown as ""window"" might be null or undefined here."
2019-12-09T04:28:25-0500,2020-01-14T19:38:15-0500,javascript:S2259,OPEN,MAJOR,moodle:lib/amd/src/adapter.js,2137,"TypeError can be thrown as ""window"" might be null or undefined here."
2019-12-09T04:28:25-0500,2020-01-14T19:38:15-0500,javascript:S2259,OPEN,MAJOR,moodle:lib/amd/src/adapter.js,2241,"TypeError can be thrown as ""c"" might be null or undefined here."
2019-12-09T04:28:25-0500,2020-01-14T19:38:15-0500,javascript:S2259,OPEN,MAJOR,moodle:lib/amd/src/adapter.js,2305,"TypeError can be thrown as ""window"" might be null or undefined here."
2019-12-09T04:28:25-0500,2020-01-14T19:38:15-0500,javascript:S2259,OPEN,MAJOR,moodle:lib/amd/src/adapter.js,2372,"TypeError can be thrown as ""window"" might be null or undefined here."
2019-12-09T04:28:25-0500,2020-01-14T19:38:15-0500,javascript:S2259,OPEN,MAJOR,moodle:lib/amd/src/adapter.js,2434,"TypeError can be thrown as ""window"" might be null or undefined here."
2019-12-09T04:28:25-0500,2020-01-14T19:38:15-0500,javascript:S2259,OPEN,MAJOR,moodle:lib/amd/src/adapter.js,2557,"TypeError can be thrown as ""window"" might be null or undefined here."
2019-10-31T05:58:37-0400,2020-01-14T19:38:15-0500,javascript:S2259,OPEN,MAJOR,moodle:lib/editor/atto/plugins/h5p/yui/build/moodle-atto_h5p-button/moodle-atto_h5p-button-debug.js,534,"TypeError can be thrown as ""h5pfile"" might be null or undefined here."
2019-10-31T05:58:37-0400,2020-01-14T19:38:15-0500,javascript:S2259,OPEN,MAJOR,moodle:lib/editor/atto/plugins/h5p/yui/build/moodle-atto_h5p-button/moodle-atto_h5p-button.js,534,"TypeError can be thrown as ""h5pfile"" might be null or undefined here."
2019-10-31T05:58:37-0400,2020-01-14T19:38:15-0500,javascript:S2259,OPEN,MAJOR,moodle:lib/editor/atto/plugins/h5p/yui/src/button/js/button.js,532,"TypeError can be thrown as ""h5pfile"" might be null or undefined here."
2019-10-29T22:23:40-0400,2020-01-14T19:38:15-0500,php:S836,OPEN,MAJOR,moodle:grade/grading/form/lib.php,556,Review the data-flow - use of uninitialized value.
2019-10-28T22:22:43-0400,2020-01-14T19:38:15-0500,Web:BoldAndItalicTagsCheck,OPEN,MINOR,moodle:lib/h5p/doc/spec_en.html,6,Replace this <i> tag by <em>.
