Alex_Pott  	 /drupal/core/modules/system/tests/modules/csrf_race_test/src/Controller/TestController.php  	 vuln  	 63  	php:S2964
effulgentsia  	 /drupal/core/tests/Drupal/Tests/Core/Command/QuickStartTest.php  	 vuln  	 161  	php:S2964
Lee_Rowlands  	 /drupal/core/modules/quickedit/tests/src/FunctionalJavascript/QuickEditLoadingTest.php  	 vuln  	 315  	php:S2964
Lee_Rowlands  	 /drupal/core/lib/Drupal/Core/Command/ServerCommand.php  	 vuln  	 258  	php:S2964
Lee_Rowlands  	 /drupal/core/tests/Drupal/Tests/Core/Command/QuickStartTest.php  	 vuln  	 114  	php:S2964
Lee_Rowlands  	 /drupal/core/tests/Drupal/Tests/Core/Command/QuickStartTest.php  	 vuln  	 121  	php:S2964
Lee_Rowlands  	 /drupal/core/tests/Drupal/Tests/Core/Command/QuickStartTest.php  	 vuln  	 215  	php:S2964
Lee_Rowlands  	 /drupal/core/tests/Drupal/Tests/Core/Command/QuickStartTest.php  	 vuln  	 222  	php:S2964
Alex_Pott  	 /drupal/core/modules/migrate/tests/src/Kernel/process/FileCopyTest.php  	 vuln  	 97  	php:S2964
Nathaniel_Catchpole  	 /drupal/core/modules/content_translation/tests/src/Functional/ContentTranslationUITestBase.php  	 vuln  	 549  	php:S2964
Nathaniel_Catchpole  	 /drupal/core/modules/content_translation/tests/src/Functional/ContentTranslationUITestBase.php  	 vuln  	 612  	php:S2964
Nathaniel_Catchpole  	 /drupal/core/modules/datetime_range/tests/src/Kernel/DateRangeItemTest.php  	 vuln  	 99  	php:S2964
Nathaniel_Catchpole  	 /drupal/core/modules/content_translation/src/Tests/ContentTranslationUITestBase.php  	 vuln  	 619  	php:S2964
Nathaniel_Catchpole  	 /drupal/core/modules/node/tests/src/Functional/NodeFormSaveChangedTimeTest.php  	 vuln  	 70  	php:S2964
Alex_Pott  	 /drupal/core/modules/content_translation/src/Tests/ContentTranslationUITestBase.php  	 vuln  	 556  	php:S2964
Alex_Pott  	 /drupal/core/modules/system/tests/modules/entity_test/src/Entity/EntityTestMulChanged.php  	 vuln  	 74  	php:S2964
Alex_Pott  	 /drupal/core/modules/tracker/tests/src/Functional/TrackerTest.php  	 vuln  	 309  	php:S2964
Alex_Pott  	 /drupal/core/modules/tracker/tests/src/Functional/TrackerTest.php  	 vuln  	 329  	php:S2964
Alex_Pott  	 /drupal/core/modules/user/tests/src/Unit/UserAuthTest.php  	 vuln  	 55  	php:S2068
Nathaniel_Catchpole  	 /drupal/core/tests/Drupal/Tests/Component/PhpStorage/MTimeProtectedFileStorageBase.php  	 vuln  	 106  	php:S2964
Nathaniel_Catchpole  	 /drupal/core/modules/system/tests/src/Functional/System/ShutdownFunctionsTest.php  	 vuln  	 48  	php:S2964
Alex_Pott  	 /drupal/core/lib/Drupal/Core/Database/Driver/sqlite/Connection.php  	 vuln  	 116  	php:S2115
webchick  	 /drupal/core/modules/locale/tests/src/Functional/LocaleUpdateCronTest.php  	 vuln  	 107  	php:S2964
Dries_Buytaert  	 /drupal/core/modules/system/tests/src/Functional/FileTransfer/FileTransferTest.php  	 vuln  	 18  	php:S2068
catch  	 /drupal/core/modules/system/tests/src/Functional/System/CronRunTest.php  	 vuln  	 76  	php:S2964
Angie_Byron  	 /drupal/core/modules/system/tests/src/Functional/Session/SessionTest.php  	 vuln  	 243  	php:S2964
Angie_Byron  	 /drupal/core/modules/system/tests/src/Functional/Session/SessionTest.php  	 vuln  	 250  	php:S2964
Angie_Byron  	 /drupal/core/modules/system/tests/src/Functional/Session/SessionTest.php  	 vuln  	 257  	php:S2964
catch  	 /drupal/core/modules/statistics/tests/src/Functional/StatisticsAdminTest.php  	 vuln  	 166  	php:S2964
catch  	 /drupal/core/modules/aggregator/tests/src/Functional/UpdateFeedItemTest.php  	 vuln  	 61  	php:S2964
Dries_Buytaert  	 /drupal/core/modules/system/tests/src/Functional/Lock/LockFunctionalTest.php  	 vuln  	 49  	php:S2964
Nathaniel_Catchpole  	 /drupal/core/modules/tracker/tests/src/Functional/TrackerTest.php  	 vuln  	 259  	php:S2964
catch  	 /drupal/core/modules/path_alias/tests/src/Unit/DeprecatedClassesTest.php  	 bug  	 112  	php:S1848
catch  	 /drupal/core/modules/path_alias/tests/src/Unit/DeprecatedClassesTest.php  	 bug  	 129  	php:S1848
catch  	 /drupal/core/modules/path_alias/tests/src/Unit/DeprecatedClassesTest.php  	 bug  	 146  	php:S1848
catch  	 /drupal/core/modules/path_alias/tests/src/Unit/DeprecatedClassesTest.php  	 bug  	 163  	php:S1848
effulgentsia  	 /drupal/core/themes/claro/js/tabledrag.js  	 bug  	 594  	javascript:S2259
webchick  	 /drupal/core/modules/media/tests/fixtures/oembed/video_vimeo-no-title.html  	 bug  	 3  	Web:PageWithoutTitleCheck
Lee_Rowlands  	 /drupal/core/modules/field/src/Plugin/migrate/process/d7/FieldInstanceOptionTranslation.php  	 bug  	 31  	php:S3923
Lee_Rowlands  	 /drupal/core/modules/field/src/Plugin/migrate/process/d7/FieldOptionTranslation.php  	 bug  	 33  	php:S3923
Alex_Pott  	 /drupal/core/tests/Drupal/Tests/Core/Controller/AjaxRendererTest.php  	 bug  	 98  	php:S1848
Alex_Pott  	 /drupal/core/tests/Drupal/Tests/Core/Controller/DialogRendererTest.php  	 bug  	 28  	php:S1848
catch  	 /drupal/core/tests/Drupal/KernelTests/Core/Config/FileStorageFactoryTest.php  	 bug  	 34  	php:S1848
catch  	 /drupal/core/tests/Drupal/Tests/Core/Cache/BackendChainImplementationUnitTest.php  	 bug  	 310  	php:S1848
catch  	 /drupal/core/tests/Drupal/KernelTests/Core/Entity/FieldableEntityDefinitionUpdateTest.php  	 bug  	 795  	php:S1848
effulgentsia  	 /drupal/core/modules/jsonapi/src/Controller/EntityResource.php  	 bug  	 335  	php:S2201
effulgentsia  	 /drupal/core/modules/jsonapi/tests/src/Unit/Query/EntityConditionGroupTest.php  	 bug  	 36  	php:S1848
Alex_Pott  	 /drupal/core/tests/Drupal/Tests/Component/Plugin/ConfigurablePluginInterfaceTest.php  	 bug  	 23  	php:S1848
Nathaniel_Catchpole  	 /drupal/core/tests/Drupal/KernelTests/Core/Entity/FieldableEntityDefinitionUpdateTest.php  	 bug  	 117  	php:S1848
Alex_Pott  	 /drupal/core/modules/views/tests/src/Kernel/ViewElementTest.php  	 bug  	 86  	php:S2201
xjm  	 /drupal/core/modules/layout_builder/tests/src/Unit/SectionStorageManagerTest.php  	 bug  	 102  	php:S1848
Alex_Pott  	 /drupal/core/modules/media/tests/fixtures/oembed/video_youtube.html  	 bug  	 3  	Web:PageWithoutTitleCheck
Nathaniel_Catchpole  	 /drupal/core/tests/Drupal/KernelTests/Core/Extension/ThemeEngineExtensionListTest.php  	 bug  	 20  	php:S1848
Nathaniel_Catchpole  	 /drupal/core/tests/Drupal/KernelTests/Core/Extension/ThemeExtensionListTest.php  	 bug  	 20  	php:S1848
Nathaniel_Catchpole  	 /drupal/core/tests/Drupal/Tests/Core/Config/StorageComparerTest.php  	 bug  	 247  	php:S1848
Nathaniel_Catchpole  	 /drupal/core/tests/Drupal/Tests/Core/Field/MigrateFieldDeprecationTest.php  	 bug  	 24  	php:S1848
Nathaniel_Catchpole  	 /drupal/core/tests/Drupal/Tests/Core/Field/MigrateFieldDeprecationTest.php  	 bug  	 33  	php:S1848
Nathaniel_Catchpole  	 /drupal/core/tests/Drupal/Tests/Core/Field/MigrateFieldDeprecationTest.php  	 bug  	 42  	php:S1848
Nathaniel_Catchpole  	 /drupal/core/lib/Drupal/Core/PathProcessor/PathProcessorFront.php  	 bug  	 52  	php:S2201
Gábor_Hojtsy  	 /drupal/core/modules/field/src/Plugin/migrate/process/d6/FieldInstanceOptionTranslation.php  	 bug  	 31  	php:S3923
Gábor_Hojtsy  	 /drupal/core/modules/field/src/Plugin/migrate/process/d6/FieldOptionTranslation.php  	 bug  	 33  	php:S3923
Lauri_Eskola  	 /drupal/core/modules/ckeditor/js/ckeditor.es6.js  	 bug  	 203  	javascript:S2583
Lauri_Eskola  	 /drupal/core/modules/views_ui/js/views-admin.es6.js  	 bug  	 1098  	javascript:S2259
Alex_Pott  	 /drupal/core/modules/system/tests/src/Functional/System/PageTitleTest.php  	 bug  	 127  	php:S1848
Alex_Pott  	 /drupal/core/modules/media/tests/fixtures/oembed/photo_flickr.html  	 bug  	 3  	Web:PageWithoutTitleCheck
Alex_Pott  	 /drupal/core/modules/media/tests/fixtures/oembed/video_collegehumor.html  	 bug  	 3  	Web:PageWithoutTitleCheck
Alex_Pott  	 /drupal/core/modules/media/tests/fixtures/oembed/video_vimeo.html  	 bug  	 3  	Web:PageWithoutTitleCheck
webchick  	 /drupal/core/modules/system/tests/modules/hold_test/src/EventSubscriber/HoldTestSubscriber.php  	 bug  	 40  	php:S3699
catch  	 /drupal/core/tests/Drupal/Tests/Core/Config/Entity/ConfigEntityTypeTest.php  	 bug  	 104  	php:S1848
