Shamim_Rezaie  	 /moodle/lib/babel-polyfill/polyfill.js  	 bug  	 3497  	javascript:S2201
Shamim_Rezaie  	 /moodle/lib/amd/src/adapter.js  	 bug  	 264  	javascript:S2259
Shamim_Rezaie  	 /moodle/lib/amd/src/adapter.js  	 bug  	 340  	javascript:S2259
Shamim_Rezaie  	 /moodle/lib/amd/src/adapter.js  	 bug  	 512  	javascript:S2259
Shamim_Rezaie  	 /moodle/lib/amd/src/adapter.js  	 bug  	 1060  	javascript:S2259
Shamim_Rezaie  	 /moodle/lib/amd/src/adapter.js  	 bug  	 1130  	javascript:S2583
Shamim_Rezaie  	 /moodle/lib/amd/src/adapter.js  	 bug  	 1275  	javascript:S2259
Shamim_Rezaie  	 /moodle/lib/amd/src/adapter.js  	 bug  	 1877  	javascript:S2259
Shamim_Rezaie  	 /moodle/lib/amd/src/adapter.js  	 bug  	 1889  	javascript:S2259
Shamim_Rezaie  	 /moodle/lib/amd/src/adapter.js  	 bug  	 1970  	javascript:S2259
Shamim_Rezaie  	 /moodle/lib/amd/src/adapter.js  	 bug  	 2003  	javascript:S2259
Shamim_Rezaie  	 /moodle/lib/amd/src/adapter.js  	 bug  	 2058  	javascript:S2259
Shamim_Rezaie  	 /moodle/lib/amd/src/adapter.js  	 bug  	 2114  	javascript:S2259
Shamim_Rezaie  	 /moodle/lib/amd/src/adapter.js  	 bug  	 2137  	javascript:S2259
Shamim_Rezaie  	 /moodle/lib/amd/src/adapter.js  	 bug  	 2241  	javascript:S2259
Shamim_Rezaie  	 /moodle/lib/amd/src/adapter.js  	 bug  	 2305  	javascript:S2259
Shamim_Rezaie  	 /moodle/lib/amd/src/adapter.js  	 bug  	 2372  	javascript:S2259
Shamim_Rezaie  	 /moodle/lib/amd/src/adapter.js  	 bug  	 2434  	javascript:S2259
Shamim_Rezaie  	 /moodle/lib/amd/src/adapter.js  	 bug  	 2557  	javascript:S2259
Bas_Brands  	 /moodle/lib/editor/atto/plugins/h5p/yui/build/moodle-atto_h5p-button/moodle-atto_h5p-button-debug.js  	 bug  	 534  	javascript:S2259
Bas_Brands  	 /moodle/lib/editor/atto/plugins/h5p/yui/build/moodle-atto_h5p-button/moodle-atto_h5p-button.js  	 bug  	 534  	javascript:S2259
Bas_Brands  	 /moodle/lib/editor/atto/plugins/h5p/yui/src/button/js/button.js  	 bug  	 532  	javascript:S2259
Andrew_Nicols  	 /moodle/grade/grading/form/lib.php  	 bug  	 556  	php:S836
Amaia_Anabitarte  	 /moodle/lib/h5p/doc/spec_en.html  	 bug  	 6  	Web:BoldAndItalicTagsCheck
Amaia_Anabitarte  	 /moodle/lib/h5p/doc/spec_en.html  	 bug  	 12  	Web:BoldAndItalicTagsCheck
Amaia_Anabitarte  	 /moodle/lib/h5p/doc/spec_en.html  	 bug  	 13  	Web:BoldAndItalicTagsCheck
Amaia_Anabitarte  	 /moodle/lib/h5p/doc/spec_en.html  	 bug  	 14  	Web:BoldAndItalicTagsCheck
Amaia_Anabitarte  	 /moodle/lib/h5p/doc/spec_en.html  	 bug  	 18  	Web:BoldAndItalicTagsCheck
Amaia_Anabitarte  	 /moodle/lib/h5p/doc/spec_en.html  	 bug  	 67  	Web:BoldAndItalicTagsCheck
Amaia_Anabitarte  	 /moodle/lib/h5p/doc/spec_en.html  	 bug  	 75  	Web:BoldAndItalicTagsCheck
Amaia_Anabitarte  	 /moodle/lib/h5p/doc/spec_en.html  	 bug  	 75  	Web:BoldAndItalicTagsCheck
Amaia_Anabitarte  	 /moodle/lib/h5p/doc/spec_en.html  	 bug  	 75  	Web:BoldAndItalicTagsCheck
Amaia_Anabitarte  	 /moodle/lib/h5p/doc/spec_en.html  	 bug  	 75  	Web:BoldAndItalicTagsCheck
Amaia_Anabitarte  	 /moodle/lib/h5p/doc/spec_en.html  	 bug  	 79  	Web:BoldAndItalicTagsCheck
