Mikhail_Golenkov 	 /moodle/lib/cronlib.php 	 vuln 	 209 	 Remove this call to "sleep".
David_Monllaó 	 /moodle/analytics/tests/fixtures/test_analysis.php 	 vuln 	 44 	 Remove this call to "sleep".
David_Monllaó 	 /moodle/lib/tests/time_splittings_test.php 	 vuln 	 306 	 Remove this call to "sleep".
David_Monllaó 	 /moodle/lib/tests/time_splittings_test.php 	 vuln 	 347 	 Remove this call to "sleep".
Sara_Arjona 	 /moodle/h5p/js/embed.js 	 vuln 	 72 	 Make sure this cross-domain message is being sent to the intended domain.
Amaia_Anabitarte 	 /moodle/lib/h5p/js/h5p-resizer.js 	 vuln 	 127 	 Make sure this cross-domain message is being sent to the intended domain.
Amaia_Anabitarte 	 /moodle/lib/h5p/js/h5p.js 	 vuln 	 471 	 Make sure this cross-domain message is being sent to the intended domain.
Mihail_Geshoski 	 /moodle/badges/upgradelib.php 	 vuln 	 41 	 'password' detected in this variable name, review this potentially hardcoded credential.
Mihail_Geshoski 	 /moodle/badges/upgradelib.php 	 vuln 	 58 	 'password' detected in this variable name, review this potentially hardcoded credential.
Helen_Foster 	 /moodle/lang/en/admin.php 	 vuln 	 190 	 'password' detected in this variable name, review this potentially hardcoded credential.
Eloy_Lafuente_(stronk7) 	 /moodle/lib/tcpdf/include/tcpdf_static.php 	 vuln 	 1840 	 Activate SSL/TLS certificates chain of trust verification.
Eloy_Lafuente_(stronk7) 	 /moodle/lib/tcpdf/include/tcpdf_static.php 	 vuln 	 1841 	 Activate SSL/TLS certificates chain of trust verification.
Damyon_Wiese 	 /moodle/badges/classes/external/recipient_exporter.php 	 vuln 	 56 	 Use the salt that is generated by default.
Mihail_Geshoski 	 /moodle/mod/forum/tests/externallib_test.php 	 vuln 	 1422 	 Remove this call to "sleep".
Mihail_Geshoski 	 /moodle/mod/forum/tests/externallib_test.php 	 vuln 	 1430 	 Remove this call to "sleep".
Mihail_Geshoski 	 /moodle/mod/forum/tests/externallib_test.php 	 vuln 	 1435 	 Remove this call to "sleep".
Mihail_Geshoski 	 /moodle/mod/forum/tests/externallib_test.php 	 vuln 	 1439 	 Remove this call to "sleep".
Mihail_Geshoski 	 /moodle/mod/forum/tests/externallib_test.php 	 vuln 	 1447 	 Remove this call to "sleep".
Mihail_Geshoski 	 /moodle/mod/forum/tests/externallib_test.php 	 vuln 	 1455 	 Remove this call to "sleep".
Mihail_Geshoski 	 /moodle/mod/forum/tests/externallib_test.php 	 vuln 	 1463 	 Remove this call to "sleep".
Mihail_Geshoski 	 /moodle/mod/forum/tests/externallib_test.php 	 vuln 	 1471 	 Remove this call to "sleep".
sam_marshall 	 /moodle/lib/tests/behat/behat_hooks.php 	 vuln 	 578 	 Remove this call to "sleep".
Juan_Leyva 	 /moodle/auth/tests/external_test.php 	 vuln 	 141 	 'password' detected in this variable name, review this potentially hardcoded credential.
Juan_Leyva 	 /moodle/auth/tests/external_test.php 	 vuln 	 166 	 'password' detected in this variable name, review this potentially hardcoded credential.
